Data KMS Balita (0-5 Tahun) Perempuan Standar Tinggi Badan Menurut Umur (TB/U),,,,,
,,,,,
Umur (Bulan),Terkena Stunting (< -3 SD),Terindikasi Terkena Stunting (-3 SD s/d <-2 SD),TB Ideal (-2 SD s/d +3 SD),TB Ideal (-2 SD s/d +3 SD),Tinggi (> +3 SD)
0,43.6,45.3,45.4,54.7,54.8
1,47.8,49.7,49.8,59.5,59.6
2,51,52.9,53,63.2,63.3
3,53.5,55.5,55.6,66.1,66.2
4,55.6,57.7,57.8,68.6,68.7
5,57.4,59.5,59.6,70.7,70.8
6,58.9,61.1,61.2,72.5,72.6
7,60.3,62.6,62.7,74.2,74.3
8,61.7,63.9,64,77.4,77.5
9,62.9,65.2,65.3,78.9,79
10,64.1,66.4,66.5,80.3,80.4
11,65.2,67.6,67.7,81.7,81.8
12,66.3,68.8,68.9,83.1,83.2
13,67.3,69.9,70,84.4,84.5
14,68.3,70.9,71,85.7,85.8
15,69.3,71.9,72,87,87.1
16,70.2,72.9,73,88.2,88.3
17,71.1,73.9,74,89.4,89.5
18,72,74.8,74.9,90.6,90.7
19,72.8,75.7,75.8,91.7,91.8
20,73.7,76.6,76.7,92.9,93
21,74.5,77.4,77.5,94,94.1
22,75.2,78.3,78.4,95,95.1
23,76,79.1,79.2,96.1,96.2
24,76.7,79.9,80,95.4,95.5
25,76.8,79.9,80,96.4,96.5
26,77.5,80.7,80.8,97.4,97.5
27,78.1,81.4,81.5,98.4,98.5
28,78.8,82.1,82.2,99.4,99.5
29,79.5,82.8,82.9,100.3,100.4
30,80.1,83.5,83.6,101.3,101.4
31,80.7,84.2,84.3,102.2,102.3
32,81.3,84.8,84.9,103.1,103.2
33,81.9,85.5,85.6,103.9,104
34,82.5,86.1,86.2,104.8,104.9
35,83.1,86.7,86.8,105.6,105.7
36,83.6,87.3,87.4,106.5,106.6
37,84.2,87.9,88,107.3,107.4
38,84.7,88.5,88.6,108.1,108.2
39,85.3,89.1,89.2,108.9,109
40,85.8,89.7,89.8,109.7,109.8
41,86.3,90.3,90.4,110.5,110.6
42,86.8,90.8,90.9,111.2,111.3
43,87.4,91.4,91.5,112,112.1
44,87.9,91.9,92,112.7,112.8
45,88.4,92.4,92.5,113.5,113.6
46,88.9,93,93.1,114.2,114.3
47,89.3,93.5,93.6,114.9,115
48,89.8,94,94.1,115.7,115.8
49,90.3,94.5,94.6,116.4,116.5
50,90.7,95,95.1,117.1,117.2
51,91.2,95.5,95.6,117.7,117.8
52,91.7,96,96.1,118.4,118.5
53,92.1,96.5,96.6,119.1,119.2
54,92.6,97,97.1,119.8,119.9
55,93,97.5,97.6,120.4,120.5
56,93.4,98,98.1,121.1,121.2
57,93.9,98.4,98.5,121.8,121.9
58,94.3,98.9,99,122.4,122.5
59,94.7,99.4,99.5,123.1,123.2
60,95.2,99.8,99.9,123.7,123.8